# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
181.00000000,BACKGROUND1,SURVEILLANCE_LUFTHANSA,start
201.00000000,BACKGROUND1,SURVEILLANCE_LUFTHANSA,end
237.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
241.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
361.00000000,BACKGROUND5,SURVEILLANCE_EUROWINGS,start
377.00000000,BACKGROUND5,SURVEILLANCE_EUROWINGS,end
580.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
589.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
604.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,start
607.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,end
699.00000000,BACKGROUND1,BACKGROUND9,start
701.00000000,BACKGROUND1,BACKGROUND9,end
1062.00000000,BACKGROUND10,BACKGROUND12,start
1065.00000000,BACKGROUND10,BACKGROUND12,end
